sid,longitude,latitude,stype,fwy,direc,abs_pm,state_pm
401708,-122.295247,37.801951,ML,880,S,43.007,32.78
401710,-122.238114,37.779393,ML,880,S,39.327,29.1
401714,-122.279928,37.800363,ML,880,S,42.127,31.9
401716,-122.067645,37.607967,ML,880,S,24.007,13.78
401718,-122.068919,37.993647,ML,680,N,52.775,21.11
401720,-122.078951,38.002087,ML,680,S,53.615,21.9
401722,-121.938337,37.720856,ML,680,S,31.207,21.15
401724,-122.028521,37.849917,ML,680,N,41.623,R10.25
401728,-122.71318,38.349211,ML,101,S,481.964,13.93
401734,-122.057489,37.947268,ML,680,S,49.373,R17.82
401742,-122.054436,37.963414,ML,680,N,50.507,R19
401744,-122.028746,37.84987,ML,680,S,41.658,R10.25
401746,-122.167031,37.892433,ML,24,E,8.048,R3.7
401748,-122.057083,37.967137,ML,680,S,50.845,19.13
401750,-122.100284,38.020578,ML,680,S,55.355,23.64
401756,-122.068515,37.995123,ML,4,W,12.399,12.75
401758,-122.712983,38.351161,ML,101,N,482.772,14.07
401762,-122.05913,37.942855,ML,680,N,49.007,R17.5
401766,-122.713111,38.346176,ML,101,S,481.754,13.72
401768,-122.100069,38.020646,ML,680,N,55.305,23.64
401770,-122.057213,37.947233,ML,680,N,49.327,R17.82
401774,-122.054609,37.963401,ML,680,S,50.553,R19
401778,-122.05866,37.943954,ML,680,N,49.087,R17.58
401780,-122.078721,38.002078,ML,680,N,53.565,21.9
401781,-122.135704,38.218004,ML,80,E,40.463,12.98
401782,-122.133174,38.220082,ML,80,W,40.673,13.19
401784,-122.127613,38.223534,ML,80,E,41.053,13.57
401785,-122.127691,38.223755,ML,80,W,41.063,13.58
401786,-122.121552,38.227238,ML,80,W,41.473,13.99
401787,-122.121342,38.227089,ML,80,E,41.473,13.99
401788,-122.113197,38.230959,ML,80,W,41.993,14.51
401789,-122.113024,38.23082,ML,80,E,41.993,14.51
401790,-122.105771,38.234207,ML,80,W,42.453,14.97
401791,-122.105578,38.233999,ML,80,E,42.453,14.97
401793,-122.236703,38.046061,ML,80,E,26.166,12.833
401794,-122.045272,37.875054,ML,680,S,43.648,12.24
401795,-122.398947,37.717176,ML,101,N,428.944,.65
401796,-122.309316,38.321776,ML,29,N,19.139,13.1
401797,-122.309541,38.321719,ML,29,S,19.139,13.1
401798,-122.307867,38.317605,ML,29,S,18.839,12.8
401799,-122.307697,38.317645,ML,29,N,18.839,12.8
401808,-121.860066,37.334883,ML,280,N,0.56,R.56
401809,-121.860098,37.334524,ML,280,S,0.56,R.56
401810,-121.883989,37.32592,ML,280,N,2.05,2.05
401811,-121.883953,37.325651,ML,280,S,2.05,R2.05
401816,-121.926885,37.37116,ML,87,S,9.03,9.04
401817,-121.926917,37.371274,ML,87,N,9.04,9.04
401818,-122.063514,37.892113,ML,680,S,45.219,13.7
401819,-122.419351,37.77007,ML,101,N,433.474,R5.18
401820,-122.416876,37.769613,ML,101,S,434.179,R5.18
401825,-121.901355,38.019902,ML,4,W,21.964,22.33
401826,-121.90176,38.01981,ML,4,E,22.011,22.33
401827,-121.892161,38.017781,ML,4,W,22.504,22.87
401828,-121.892302,38.01749,ML,4,E,22.551,22.87
401829,-121.886863,38.016161,ML,4,E,22.861,23.18
401830,-121.875409,38.013862,ML,4,W,23.454,23.82
401831,-122.264949,37.521616,ML,101,S,411.343,9.12
401832,-122.25749,37.515299,ML,101,N,410.707,8.52
401833,-122.233527,37.496527,ML,101,N,408.837,6.65
401834,-122.232158,37.496129,ML,101,N,408.757,6.57
401835,-122.218882,37.491388,ML,101,N,407.957,5.77
401837,-122.217518,37.490595,ML,101,S,407.893,5.67
401840,-122.056179,37.886545,ML,680,S,44.649,13.13
401841,-122.10708,37.689198,ML,238,N,14.833,15.01
401845,-122.060628,37.332668,ML,280,N,12.392,11.01
401846,-122.060617,37.332482,ML,280,S,12.392,11.01
401851,-121.883255,37.701673,ML,580,W,34.744,18.56
401852,-121.883264,37.701391,ML,580,E,34.592,18.56
401853,-122.037919,37.70123,ML,580,W,43.374,R27.19
401854,-122.03778,37.70096,ML,580,E,43.222,R27.19
401855,-122.134811,37.721256,ML,580,W,49.926,33.86
401856,-122.135,37.721144,ML,580,E,49.774,R33.86
401857,-122.149746,37.763173,ML,580,W,53.156,37.09
401858,-122.149977,37.763133,ML,580,E,53.004,R37.09
401859,-122.264813,37.521719,ML,101,N,411.307,9.12
401860,-122.23223,37.495989,ML,101,S,408.793,6.57
401861,-122.233944,37.496473,ML,101,S,408.893,6.67
401868,-122.256924,37.514523,ML,101,S,410.683,8.46
401869,-122.260663,37.518081,ML,101,N,410.967,8.78
401870,-122.26082,37.517958,ML,101,S,411.003,8.78
401871,-122.161886,37.707384,ML,880,N,32.727,22.5
401872,-122.183031,37.484232,ML,101,N,405.917,3.73
401873,-122.183239,37.484087,ML,101,S,405.953,3.73
401874,-122.203433,37.487321,ML,101,N,407.057,4.87
401875,-122.203699,37.487195,ML,101,S,407.093,4.87
401876,-122.219254,37.491361,ML,101,S,408.003,5.78
401877,-122.017281,38.335912,ML,80,W,51.441,23.96
401878,-122.017033,38.335762,ML,80,E,51.441,23.96
401879,-122.061166,38.259621,ML,80,E,45.513,18.03
401880,-121.778693,37.24082,ML,85,N,0.57,.57
401881,-121.769232,37.241836,ML,101,S,376.087,26.78
401882,-122.254705,37.512823,ML,101,N,410.477,8.29
401883,-122.254967,37.512813,ML,101,S,410.523,8.3
401888,-122.018846,37.541569,ML,880,N,18.657,8.43
401889,-122.053331,37.883723,ML,680,S,44.399,12.88
401890,-121.855539,37.343447,ML,101,N,384.833,35.2
401891,-121.855795,37.343293,ML,101,S,384.869,35.2
401892,-122.307909,37.824658,ML,80,E,7.63,2.32
401893,-122.307909,37.824658,FF,80,E,7.63,2.32
401894,-122.33077,37.959017,ML,80,W,17.89,4.557
401895,-122.33058,37.959098,ML,80,E,17.88,4.547
401896,-122.269915,37.817758,ML,980,E,1.571,1.58
401897,-122.269915,37.817758,FF,980,E,1.571,1.58
401898,-122.270729,37.824927,ML,580,W,61.385,45.3
401899,-122.270809,37.824753,ML,580,E,61.233,45.3
401900,-122.30909,37.88833,ML,80,W,12.57,7.26
401901,-122.30863,37.884846,ML,80,E,12.293,R6.983
